<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;01/12/20;00:00:00;182.6000000;188.0900000;181.7800000;185.3400000;67193810
GAZP;D;02/12/20;00:00:00;185.0000000;187.2400000;183.1200000;187.2200000;40191320
GAZP;D;03/12/20;00:00:00;186.9800000;187.5800000;184.3700000;185.1200000;35885290
GAZP;D;04/12/20;00:00:00;186.2000000;189.4200000;185.8500000;188.7900000;50684840
GAZP;D;07/12/20;00:00:00;188.2200000;192.8500000;187.8000000;190.7600000;53512780
GAZP;D;08/12/20;00:00:00;190.3400000;191.4500000;187.8000000;190.0000000;48382270
GAZP;D;09/12/20;00:00:00;190.3000000;193.0900000;189.0500000;189.3500000;52678040
GAZP;D;10/12/20;00:00:00;189.5500000;193.5100000;188.6700000;192.9500000;54318200
GAZP;D;11/12/20;00:00:00;193.0500000;201.6300000;192.3100000;201.5000000;103060380
GAZP;D;14/12/20;00:00:00;203.5000000;207.8500000;198.7800000;199.9100000;122788480
GAZP;D;15/12/20;00:00:00;199.0100000;202.2900000;197.0500000;201.0000000;65473740
GAZP;D;16/12/20;00:00:00;201.0100000;206.2000000;199.5400000;206.2000000;75214780
GAZP;D;17/12/20;00:00:00;206.7000000;215.3800000;206.5100000;214.5200000;159538150
GAZP;D;18/12/20;00:00:00;214.0000000;214.5000000;207.2200000;212.6900000;133717910
GAZP;D;21/12/20;00:00:00;209.9100000;209.9900000;200.8000000;203.4600000;123517830
GAZP;D;22/12/20;00:00:00;200.7400000;210.6800000;199.1900000;208.4000000;109794540
GAZP;D;23/12/20;00:00:00;209.0000000;212.7800000;206.2000000;207.6300000;78877050
GAZP;D;24/12/20;00:00:00;208.5400000;209.9600000;203.1500000;206.2400000;59081790
GAZP;D;25/12/20;00:00:00;206.2000000;206.7300000;204.0100000;205.0300000;16517780
GAZP;D;28/12/20;00:00:00;205.5300000;207.8600000;205.1500000;206.1100000;35038710
GAZP;D;29/12/20;00:00:00;206.9500000;210.0000000;206.6100000;208.7500000;42353620
GAZP;D;30/12/20;00:00:00;209.8800000;213.3800000;209.5000000;212.9800000;74667210
GAZP;D;04/01/21;00:00:00;212.7100000;216.6300000;211.6400000;212.7100000;55195430
GAZP;D;05/01/21;00:00:00;213.2000000;215.3800000;210.2200000;215.3200000;48913740
GAZP;D;06/01/21;00:00:00;215.4800000;216.8000000;213.0700000;214.3800000;47897590
GAZP;D;08/01/21;00:00:00;217.1400000;226.2400000;217.0000000;225.4900000;100717800
GAZP;D;11/01/21;00:00:00;225.0500000;231.0000000;221.8100000;227.6000000;112506470
GAZP;D;12/01/21;00:00:00;229.0000000;231.4400000;225.6600000;228.6900000;64309460
GAZP;D;13/01/21;00:00:00;229.2900000;230.3500000;225.2000000;226.8000000;61102300
GAZP;D;14/01/21;00:00:00;226.4900000;229.5700000;223.2000000;228.8600000;60003270
GAZP;D;15/01/21;00:00:00;227.5000000;230.7000000;226.0000000;226.5000000;54765970
GAZP;D;18/01/21;00:00:00;225.5500000;228.5000000;221.3400000;226.8800000;69147920
GAZP;D;19/01/21;00:00:00;227.6600000;228.8500000;223.0000000;223.1500000;66619900
GAZP;D;20/01/21;00:00:00;223.0000000;225.7800000;221.5500000;224.3000000;51248650
GAZP;D;21/01/21;00:00:00;224.4000000;224.9600000;217.2200000;217.2800000;76701270
GAZP;D;22/01/21;00:00:00;216.4500000;216.5000000;210.5000000;215.4900000;94721320
GAZP;D;25/01/21;00:00:00;216.9000000;219.6600000;214.5300000;218.6800000;74456540
GAZP;D;26/01/21;00:00:00;216.8000000;220.2900000;215.7100000;218.8000000;45114650
GAZP;D;27/01/21;00:00:00;219.4900000;222.0000000;216.4400000;217.4000000;59271760
GAZP;D;28/01/21;00:00:00;215.9100000;219.4900000;214.2600000;217.7000000;52341000
GAZP;D;29/01/21;00:00:00;216.7500000;216.7500000;212.4700000;212.8300000;66744580
