<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;D;01/12/20;00:00:00;464.0500000;472.3500000;464.0000000;470.0000000;6970
MDMG;D;02/12/20;00:00:00;468.1000000;470.1000000;467.0000000;467.0000000;3060
MDMG;D;03/12/20;00:00:00;464.7500000;468.0000000;455.4000000;455.6000000;15050
MDMG;D;04/12/20;00:00:00;467.0500000;472.0000000;456.5500000;458.2000000;13200
MDMG;D;07/12/20;00:00:00;469.7000000;469.7000000;456.4000000;457.5000000;11250
MDMG;D;08/12/20;00:00:00;465.6500000;465.6500000;455.0000000;455.0000000;6130
MDMG;D;09/12/20;00:00:00;462.6500000;462.6500000;455.5000000;456.0500000;5760
MDMG;D;10/12/20;00:00:00;458.7000000;458.7500000;452.0000000;455.0500000;9150
MDMG;D;11/12/20;00:00:00;458.3000000;458.3000000;449.9000000;455.6000000;9950
MDMG;D;14/12/20;00:00:00;455.7000000;461.0000000;450.6000000;457.9000000;18530
MDMG;D;15/12/20;00:00:00;462.0500000;467.1500000;458.8000000;466.9500000;5930
MDMG;D;16/12/20;00:00:00;468.7500000;468.7500000;455.0000000;456.0000000;10920
MDMG;D;17/12/20;00:00:00;456.0000000;458.2500000;447.0000000;450.2500000;26940
MDMG;D;18/12/20;00:00:00;449.6000000;451.7000000;449.2500000;451.6500000;3620
MDMG;D;21/12/20;00:00:00;450.0000000;451.6000000;448.0500000;451.4000000;4610
MDMG;D;22/12/20;00:00:00;449.2500000;452.4500000;446.5500000;451.7000000;10100
MDMG;D;23/12/20;00:00:00;455.7000000;455.7000000;450.7000000;451.0000000;2400
MDMG;D;24/12/20;00:00:00;451.8000000;452.2000000;447.0000000;451.0000000;8030
MDMG;D;25/12/20;00:00:00;450.0000000;453.9000000;447.6000000;452.0500000;2710
MDMG;D;28/12/20;00:00:00;452.9500000;452.9500000;449.0500000;451.6000000;4850
MDMG;D;29/12/20;00:00:00;457.8000000;461.9500000;447.3500000;451.5500000;13680
MDMG;D;30/12/20;00:00:00;451.6000000;460.4000000;451.6000000;457.4000000;6930
MDMG;D;04/01/21;00:00:00;453.9500000;460.0000000;450.4000000;460.0000000;14560
MDMG;D;05/01/21;00:00:00;457.8500000;469.0000000;452.8500000;462.2500000;11230
MDMG;D;06/01/21;00:00:00;454.2000000;468.6500000;454.2000000;461.9500000;24920
MDMG;D;08/01/21;00:00:00;462.8000000;468.0500000;462.8000000;465.5000000;4210
MDMG;D;11/01/21;00:00:00;465.5000000;471.9000000;464.9000000;471.8500000;12550
MDMG;D;12/01/21;00:00:00;460.3000000;474.9000000;455.1000000;467.2500000;11060
MDMG;D;13/01/21;00:00:00;475.0000000;475.0000000;464.0500000;464.0500000;4490
MDMG;D;14/01/21;00:00:00;465.3000000;472.6500000;462.2500000;463.7000000;6360
