<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;01/12/20;00:00:00;250.7100000;260.9900000;249.8000000;260.8100000;132045800
SBER;D;02/12/20;00:00:00;260.0500000;264.9900000;258.8000000;264.0600000;93270290
SBER;D;03/12/20;00:00:00;264.4900000;264.6300000;260.8500000;263.1400000;62219970
SBER;D;04/12/20;00:00:00;264.6500000;270.8400000;264.5000000;270.0000000;94546040
SBER;D;07/12/20;00:00:00;269.2000000;276.1300000;268.1000000;274.3600000;94682100
SBER;D;08/12/20;00:00:00;274.4400000;276.6600000;271.5200000;275.4900000;78823270
SBER;D;09/12/20;00:00:00;276.1900000;279.4200000;275.8700000;276.8900000;73606600
SBER;D;10/12/20;00:00:00;276.7000000;282.2000000;275.2000000;282.2000000;75547130
SBER;D;11/12/20;00:00:00;282.5000000;284.6000000;279.7800000;283.7300000;76031520
SBER;D;14/12/20;00:00:00;285.0200000;287.7400000;277.1000000;279.9500000;90216400
SBER;D;15/12/20;00:00:00;278.5300000;283.7600000;276.0700000;278.7000000;84170420
SBER;D;16/12/20;00:00:00;278.0000000;280.8400000;276.1400000;278.3500000;54712610
SBER;D;17/12/20;00:00:00;279.8400000;285.1600000;276.5400000;278.5000000;92056470
SBER;D;18/12/20;00:00:00;277.4000000;277.4000000;268.5200000;270.1600000;99129600
SBER;D;21/12/20;00:00:00;266.4000000;267.3400000;259.7000000;261.7900000;120329330
SBER;D;22/12/20;00:00:00;259.5500000;267.4200000;257.0500000;262.0400000;105345250
SBER;D;23/12/20;00:00:00;262.2000000;270.2900000;260.2200000;270.1000000;67880370
SBER;D;24/12/20;00:00:00;271.9000000;272.8200000;267.1300000;269.3200000;42447420
SBER;D;25/12/20;00:00:00;269.9300000;271.0000000;268.2800000;270.6400000;11978340
SBER;D;28/12/20;00:00:00;270.8900000;275.1900000;269.7300000;274.7000000;38838530
SBER;D;29/12/20;00:00:00;275.9100000;276.4300000;271.2600000;272.0000000;38984890
SBER;D;30/12/20;00:00:00;272.5000000;274.2400000;270.1200000;271.6500000;31509500
SBER;D;04/01/21;00:00:00;274.6700000;276.6000000;270.6100000;272.0000000;48799460
SBER;D;05/01/21;00:00:00;272.6700000;275.7000000;270.2800000;275.2000000;45554100
SBER;D;06/01/21;00:00:00;275.9000000;275.9200000;271.6200000;272.9300000;40905340
SBER;D;08/01/21;00:00:00;275.1100000;283.9900000;275.1100000;283.6400000;88672940
SBER;D;11/01/21;00:00:00;282.7500000;292.9500000;279.4800000;289.4900000;112210400
SBER;D;12/01/21;00:00:00;290.5000000;296.0700000;286.7000000;289.9900000;78890100
SBER;D;13/01/21;00:00:00;291.0100000;292.4600000;283.1000000;283.7800000;67489780
SBER;D;14/01/21;00:00:00;284.0000000;286.9000000;279.0600000;284.7900000;74616910
SBER;D;15/01/21;00:00:00;282.5500000;286.1600000;276.0000000;276.9000000;73687110
SBER;D;18/01/21;00:00:00;275.7300000;281.3000000;272.9500000;279.7900000;73676310
SBER;D;19/01/21;00:00:00;280.9800000;282.8000000;276.4200000;278.1900000;55682850
SBER;D;20/01/21;00:00:00;278.6300000;282.4900000;276.7700000;279.8000000;47858610
SBER;D;21/01/21;00:00:00;280.7800000;281.5400000;272.8400000;274.4000000;83765230
SBER;D;22/01/21;00:00:00;273.0000000;273.3000000;266.7800000;268.2500000;86899970
SBER;D;25/01/21;00:00:00;270.5400000;273.6300000;261.6500000;265.3000000;114068450
SBER;D;26/01/21;00:00:00;262.9000000;269.5700000;262.6100000;269.3400000;75094890
SBER;D;27/01/21;00:00:00;270.0700000;273.8000000;265.0200000;265.5000000;100046360
SBER;D;28/01/21;00:00:00;263.5000000;267.1700000;261.1700000;265.9600000;81088040
SBER;D;29/01/21;00:00:00;263.9200000;264.7500000;257.3600000;258.1100000;120025230
SBER;D;01/02/21;00:00:00;260.0000000;264.0600000;258.7300000;263.8000000;63050800
SBER;D;02/02/21;00:00:00;265.0000000;268.3900000;263.0500000;263.1500000;79360220
SBER;D;03/02/21;00:00:00;264.2500000;268.1400000;261.0500000;263.5300000;77585700
SBER;D;04/02/21;00:00:00;263.2100000;270.6000000;262.3400000;270.1100000;78873410
SBER;D;05/02/21;00:00:00;271.9900000;272.5700000;268.8700000;271.7000000;71697410
SBER;D;08/02/21;00:00:00;273.0100000;275.5800000;272.3200000;275.2000000;51720410
SBER;D;09/02/21;00:00:00;275.9900000;276.2900000;267.1900000;268.9800000;91773840
SBER;D;10/02/21;00:00:00;269.2800000;270.9900000;265.2000000;265.9000000;63033470
SBER;D;11/02/21;00:00:00;265.4900000;266.9000000;263.7500000;264.7000000;38615960
SBER;D;12/02/21;00:00:00;263.9900000;266.4400000;258.5500000;266.0000000;81585980
SBER;D;15/02/21;00:00:00;268.4900000;271.8700000;267.0700000;271.8100000;56766380
SBER;D;16/02/21;00:00:00;272.3100000;272.8000000;268.2700000;270.9000000;62992920
SBER;D;17/02/21;00:00:00;270.9200000;275.0700000;267.5600000;270.9000000;79087080
SBER;D;18/02/21;00:00:00;270.3500000;272.4600000;266.2100000;266.9900000;58686040
SBER;D;19/02/21;00:00:00;266.1200000;272.8100000;264.1900000;271.3400000;59193580
SBER;D;20/02/21;00:00:00;271.0000000;271.0000000;269.0200000;270.5100000;8738250
SBER;D;22/02/21;00:00:00;270.3700000;274.4600000;268.1200000;273.7100000;48095910
SBER;D;24/02/21;00:00:00;272.1200000;272.7500000;269.4200000;271.9000000;64101830
SBER;D;25/02/21;00:00:00;273.6000000;276.4800000;270.6500000;270.7100000;79566390
SBER;D;26/02/21;00:00:00;268.0000000;272.4900000;266.4300000;270.1700000;74446940
SBER;D;01/03/21;00:00:00;273.0000000;274.7300000;271.1300000;273.5800000;35741070
SBER;D;02/03/21;00:00:00;271.8900000;280.0000000;271.6000000;279.1000000;71481180
SBER;D;03/03/21;00:00:00;281.7000000;283.8300000;277.6300000;278.0100000;64113880
SBER;D;04/03/21;00:00:00;278.5300000;281.9600000;273.6300000;274.7500000;91841080
