<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;D;01.12.20;0;5308.2000000;5389.6000000;5240.4000000;5310.4000000;1215891
YNDX;D;02.12.20;0;5309.0000000;5327.2000000;5180.2000000;5193.6000000;785382
YNDX;D;03.12.20;0;5212.0000000;5245.0000000;5136.2000000;5166.0000000;524297
YNDX;D;04.12.20;0;5185.8000000;5228.0000000;5055.4000000;5065.2000000;821760
YNDX;D;07.12.20;0;5066.0000000;5113.2000000;4962.6000000;5002.2000000;729697
YNDX;D;08.12.20;0;5009.6000000;5077.8000000;4952.6000000;5066.4000000;777084
YNDX;D;09.12.20;0;5063.4000000;5230.8000000;5040.0000000;5094.0000000;970424
YNDX;D;10.12.20;0;5119.6000000;5189.8000000;4990.6000000;5169.2000000;760322
YNDX;D;11.12.20;0;5148.0000000;5194.0000000;5092.2000000;5124.0000000;493797
YNDX;D;14.12.20;0;5150.8000000;5160.8000000;5010.2000000;5040.0000000;593129
YNDX;D;15.12.20;0;5059.0000000;5109.4000000;5015.0000000;5050.0000000;385675
YNDX;D;16.12.20;0;5076.0000000;5204.8000000;5050.0000000;5198.0000000;537105
YNDX;D;17.12.20;0;5183.8000000;5283.6000000;5100.8000000;5145.4000000;926687
YNDX;D;18.12.20;0;5160.2000000;5209.0000000;5080.2000000;5082.0000000;761329
YNDX;D;21.12.20;0;5100.0000000;5139.8000000;4991.4000000;5004.4000000;874186
YNDX;D;22.12.20;0;5008.8000000;5095.0000000;4982.0000000;5084.0000000;423976
YNDX;D;23.12.20;0;5072.2000000;5149.8000000;5041.4000000;5113.0000000;351103
YNDX;D;24.12.20;0;5126.8000000;5137.8000000;4990.4000000;5029.0000000;335241
YNDX;D;25.12.20;0;5029.0000000;5049.8000000;5002.0000000;5039.8000000;91780
YNDX;D;28.12.20;0;5048.6000000;5078.4000000;4986.2000000;5026.4000000;337357
YNDX;D;29.12.20;0;5017.0000000;5065.2000000;4996.0000000;5020.4000000;342093
YNDX;D;30.12.20;0;5022.0000000;5183.2000000;5006.4000000;5167.0000000;475906
YNDX;D;04.01.21;0;5167.8000000;5235.0000000;5113.0000000;5185.2000000;574279
YNDX;D;05.01.21;0;5184.0000000;5389.4000000;5141.0000000;5340.4000000;688355
YNDX;D;06.01.21;0;5300.0000000;5338.8000000;5150.0000000;5188.8000000;806459
YNDX;D;08.01.21;0;5230.6000000;5323.4000000;5220.0000000;5254.2000000;892172
YNDX;D;11.01.21;0;5257.6000000;5303.0000000;5200.4000000;5214.2000000;797440
YNDX;D;12.01.21;0;5224.6000000;5270.0000000;5100.2000000;5121.8000000;626655
YNDX;D;13.01.21;0;5150.0000000;5198.6000000;5053.0000000;5079.8000000;554710
YNDX;D;14.01.21;0;5098.0000000;5132.4000000;5006.0000000;5077.4000000;740196
YNDX;D;15.01.21;0;5070.0000000;5128.0000000;4988.8000000;4998.0000000;796721
YNDX;D;18.01.21;0;5002.0000000;5061.0000000;4990.0000000;5043.6000000;534674
YNDX;D;19.01.21;0;5057.0000000;5069.8000000;4965.4000000;5008.8000000;646875
YNDX;D;20.01.21;0;5016.0000000;5178.0000000;4985.0000000;5170.0000000;819724
YNDX;D;21.01.21;0;5130.2000000;5167.0000000;5006.2000000;5069.0000000;1020112
YNDX;D;22.01.21;0;5036.8000000;5098.8000000;5010.0000000;5015.8000000;577323
YNDX;D;25.01.21;0;5039.4000000;5089.0000000;4860.4000000;4901.8000000;1249250
YNDX;D;26.01.21;0;4941.8000000;4984.0000000;4884.6000000;4898.2000000;1012315
YNDX;D;27.01.21;0;4909.2000000;4937.0000000;4775.4000000;4828.4000000;1030102
YNDX;D;28.01.21;0;4824.8000000;4917.0000000;4800.4000000;4876.2000000;478920
